channelA(V),channelB(uA)
0.58,425
0.58,425
0.58,425
0.58,415
0.56,415
0.56,405
0.56,405
0.56,400
0.56,400
0.56,400
0.56,390
0.56,390
0.56,380
0.56,380
0.56,370
0.56,370
0.56,365
0.56,365
0.56,365
0.56,355
0.56,355
0.56,345
0.56,345
0.56,335
0.56,335
0.56,335
0.56,330
0.56,330
0.56,320
0.56,320
0.56,310
0.56,310
0.56,310
0.56,305
0.56,305
0.56,295
0.56,295
0.56,285
0.56,285
0.54,275
0.54,275
0.54,275
0.54,270
0.54,270
0.54,260
0.54,260
0.54,250
0.54,250
0.54,250
0.54,245
0.54,245
0.54,235
0.54,235
0.54,225
0.54,230
0.54,225
0.54,220
0.54,220
0.54,210
0.54,210
0.54,205
0.54,200
0.54,195
0.54,195
0.54,195
0.54,185
0.54,185
0.52,180
0.52,180
0.52,170
0.52,170
0.52,170
0.52,165
0.52,165
0.52,155
0.52,155
0.52,150
0.52,150
0.52,145
0.52,140
0.52,140
0.52,135
0.52,135
0.52,125
0.52,125
0.5,120
0.5,120
0.5,120
0.5,110
0.5,110
0.5,105
0.5,105
0.5,95
0.5,100
0.5,100
0.5,90
0.5,90
0.5,85
0.5,85
0.48,80
0.48,80
0.48,80
0.48,75
0.48,70
0.48,65
0.48,65
0.48,60
0.48,60
0.48,55
0.48,55
0.48,55
0.46,50
0.46,50
0.46,45
0.46,45
0.46,40
0.46,40
0.46,40
0.46,35
0.46,35
0.44,30
0.44,30
0.44,30
0.44,25
0.44,30
0.44,25
0.44,25
0.42,20
0.42,20
0.42,15
0.42,20
0.42,15
0.4,20
0.4,20
0.4,10
0.4,15
0.4,10
0.4,10
0.38,10
0.38,10
0.38,10
0.38,5
0.38,10
0.38,5
0.38,5
0.36,5
0.36,5
0.36,5
0.36,5
0.36,5
0.34,5
0.34,5
0.32,5
0.34,-5
0.34,-5
0.32,0
0.32,0
0.32,0
0.32,0
0.3,0
0.3,0
0.3,-5
0.3,5
0.3,0
0.28,0
0.28,0
0.28,0
0.28,0
0.26,0
0.26,5
0.26,0
0.26,0
0.26,-10
0.26,0
0.26,0
0.24,0
0.24,0
0.22,0
0.22,0
0.22,0
0.22,0
0.22,-10
0.2,0
0.2,0
0.2,0
0.2,0
0.2,0
0.18,0
0.18,0
0.18,5
0.18,0
0.16,0
0.16,0
0.16,0
0.16,0
0.16,0
0.14,0
0.14,0
0.14,0
0.14,5
0.12,0
0.12,0
0.12,0
0.12,5
0.12,0
0.1,0
0.1,0
0.1,0
0.1,0
0.1,-5
0.08,0
0.08,0
0.08,0
0.08,0
0.06,0
0.06,0
0.06,0
0.06,5
0.06,0
0.04,0
0.04,0
0.04,0
0.04,0
0.02,5
0.02,0
0.02,0
0.02,0
0.02,0
0,0
0.02,-5
0,0
0,5
0,0
-0.02,0
-0.02,0
-0.02,0
-0.02,0
-0.04,0
-0.04,0
-0.02,-5
-0.04,0
-0.04,5
-0.06,0
-0.06,5
-0.06,0
-0.08,5
-0.08,0
-0.08,0
-0.08,0
-0.08,5
-0.08,0
-0.1,5
-0.1,0
-0.1,0
-0.1,0
-0.1,0
-0.12,0
-0.1,-5
-0.12,0
-0.12,0
-0.14,5
-0.14,5
-0.14,0
-0.14,-5
-0.14,0
-0.16,0
-0.16,0
-0.16,0
-0.16,0
-0.18,0
-0.18,5
-0.18,-5
-0.18,0
-0.18,0
-0.2,0
-0.2,0
-0.2,0
-0.2,0
-0.2,0
-0.22,0
-0.22,5
-0.22,5
-0.22,0
-0.22,-5
-0.24,0
-0.24,0
-0.24,0
-0.24,0
-0.26,0
-0.26,0
-0.26,0
-0.26,-5
-0.28,0
-0.28,0
-0.28,0
-0.28,0
-0.28,5
-0.3,0
-0.3,0
-0.3,0
-0.3,0
-0.3,0
-0.32,0
-0.3,-5
-0.32,0
-0.32,0
-0.34,0
-0.34,0
-0.34,0
-0.34,0
-0.34,-5
-0.36,0
-0.36,0
-0.36,0
-0.36,0
-0.38,0
-0.36,0
-0.38,0
-0.38,0
-0.38,0
-0.38,-5
-0.4,0
-0.4,0
-0.4,-10
-0.4,0
-0.42,0
-0.42,0
-0.42,0
-0.42,0
-0.44,0
-0.44,0
-0.44,0
-0.44,0
-0.44,0
-0.46,0
-0.46,0
-0.46,-5
-0.46,0
-0.48,0
-0.48,0
-0.46,-5
-0.48,0
-0.48,0
-0.48,-10
-0.5,0
-0.5,0
-0.5,0
-0.5,0
-0.52,0
-0.52,0
-0.52,0
-0.52,0
-0.54,0
-0.52,-5
-0.54,0
-0.54,0
-0.54,-5
-0.56,0
-0.56,5
-0.56,0
-0.56,0
-0.58,0
-0.58,0
-0.56,-5
-0.58,0
-0.58,0
-0.6,0
-0.6,0
-0.6,0
-0.6,0
-0.6,0
-0.62,0
-0.62,0
-0.62,0
-0.62,0
-0.64,0
-0.64,0
-0.64,0
-0.64,0
-0.64,0
-0.66,0
-0.66,0
-0.66,0
-0.66,0
-0.68,0
-0.68,0
-0.68,0
-0.68,0
-0.68,0
-0.7,0
-0.7,0
-0.7,0
-0.7,5
-0.7,0
-0.72,0
-0.72,0
-0.72,5
-0.72,0
-0.72,-5
-0.74,0
-0.74,0
-0.74,0
-0.74,0
-0.76,0
-0.76,0
-0.76,0
-0.76,0
-0.78,0
-0.78,0
-0.78,0
-0.78,0
-0.78,0
-0.8,-5
-0.8,5
-0.8,0
-0.8,0
-0.8,5
-0.82,0
-0.82,-5
-0.82,0
-0.82,0
-0.84,0
-0.84,0
-0.84,0
-0.84,0
-0.84,0
-0.86,0
-0.86,0
-0.86,0
-0.86,0
-0.88,0
-0.88,0
-0.86,-5
-0.88,5
-0.88,0
-0.9,0
-0.9,0
-0.9,0
-0.9,0
-0.9,0
-0.92,0
-0.92,0
